iter	Passed	Remaining
893	1843	218
894	1845	216
895	1847	214
896	1848	212
897	1850	210
898	1852	208
899	1854	206
900	1855	203
901	1857	201
902	1859	199
903	1861	197
904	1863	195
905	1864	193
906	1866	191
907	1868	189
908	1869	187
909	1871	185
910	1873	183
911	1875	180
912	1876	178
913	1878	176
914	1880	174
915	1881	172
916	1883	170
917	1884	168
918	1886	166
919	1888	164
920	1890	162
921	1892	160
922	1893	157
923	1895	155
924	1897	153
925	1898	151
926	1900	149
927	1901	147
928	1903	145
929	1905	143
930	1906	141
931	1908	139
932	1910	137
933	1911	135
934	1913	133
935	1915	130
936	1916	128
937	1918	126
938	1920	124
939	1921	122
940	1923	120
941	1925	118
942	1926	116
943	1928	114
944	1930	112
945	1931	110
946	1933	108
947	1935	106
948	1936	104
949	1938	102
950	1940	99
951	1942	97
952	1943	95
953	1945	93
954	1947	91
955	1949	89
956	1950	87
957	1952	85
958	1954	83
959	1955	81
960	1957	79
961	1959	77
962	1960	75
963	1962	73
964	1964	71
965	1965	69
966	1967	67
967	1969	65
968	1971	63
969	1973	61
970	1975	58
971	1976	56
972	1978	54
973	1979	52
974	1981	50
975	1983	48
976	1985	46
977	1987	44
978	1989	42
979	1991	40
980	1992	38
981	1994	36
982	1996	34
983	1998	32
984	1999	30
985	2002	28
986	2003	26
987	2005	24
988	2007	22
989	2009	20
990	2010	18
991	2012	16
992	2014	14
993	2017	12
994	2018	10
995	2020	8
996	2022	6
997	2024	4
998	2025	2
999	2027	0
